"hts_code","custom_description"
"3209100000","Fusion Mineral Paint (500 ml, French Eggshell"
"3209100000","Fusion Mineral Paint (500 ml, Hazelwood"
"3209100000","Fusion Mineral Paint 500 ml Heirloom"
"3209100000","Fusion Mineral Paint 500 ml Homestead Blue"
"3209100000","Fusion Mineral Paint 500 ml Inglenook"
"3209100000","Fusion Mineral Paint 500 ml Lamp White"
"3209100000","Fusion Mineral Paint 500 ml Liberty Blue"
"3209100000","Fusion Mineral Paint 500 ml Lichen"
"3209100000","Fusion Mineral Paint 500 ml Limestone"
"3209100000","Fusion Mineral Paint 500 ml Little Lamb"
"3209100000","Fusion Mineral Paint 500 ml Little Teapot"
"3209100000","Fusion Mineral Paint 500 ml Little Whale"
"3209100000","Fusion Mineral Paint 500 ml Midnight Blue"
"3209100000","Fusion Mineral Paint 500 ml Mustard"
"3209100000","Fusion Mineral Paint (500ml, Newell"
"3209100000","Fusion Mineral Paint (500 ml Oakham"
"3209100000","Fusion Mineral Paint (500 ml, Paisley"
"3209100000","Fusion Mineral Paint (500 ml, Parchment"
"3209100000","Fusion Mineral Paint 500 ml Pebble"
"3209100000","Fusion Mineral Paint (500 ml, Peony"
"3209100000","Fusion Mineral Paint 500 ml Picket Fence"
"3209100000","Fusion Mineral Paint 500 ml Plaster"
"3209100000","Fusion Mineral Paint 500 ml Prairie Sunset"
"3209100000","Fusion Mineral Paint (500 ml, Pressed Fern"
"3209100000","Fusion Mineral Paint 500 ml Putty"
"3209100000","Fusion Mineral Paint 500 ml Raw Silk"
"3209100000","Fusion Mineral Paint (500 ml, Rose Water"
"3209100000","Fusion Mineral Paint (500 ml, Seaside"
"3209100000","Fusion Mineral Paint 500 ml Soapstone"
"3209100000","Fusion Mineral Paint 500 ml Sterling"
